Date,Discharge (m³/s)
01/05/1920,44.8098
02/05/1920,43.90534
03/05/1920,46.65415
04/05/1920,55.55193
05/05/1920,64.31103
06/05/1920,71.4262
07/05/1920,75.16405
08/05/1920,89.93072
09/05/1920,112.8721
10/05/1920,108.0163
11/05/1920,103.2959
12/05/1920,101.7523
13/05/1920,108.0163
14/05/1920,137.3711
15/05/1920,143.0252
16/05/1920,165.0211
17/05/1920,215.2305
18/05/1920,298.0115
19/05/1920,363.0594
20/05/1920,377.064
21/05/1920,370.0194
22/05/1920,332.7736
23/05/1920,307.2501
24/05/1920,363.0594
25/05/1920,518.8242
26/05/1920,554.3221
27/05/1920,554.3221
28/05/1920,577.2744
29/05/1920,572.6364
30/05/1920,563.4318
31/05/1920,624.9781
01/06/1920,654.7697
02/06/1920,581.9364
03/06/1920,497.3942
04/06/1920,398.7094
05/06/1920,326.2707
06/06/1920,288.9523
07/06/1920,260.0293
08/06/1920,238.2743
09/06/1920,212.7618
10/06/1920,205.4645
11/06/1920,203.068
12/06/1920,262.8344
13/06/1920,326.2707
14/06/1920,377.064
15/06/1920,424.945
16/06/1920,476.5374
17/06/1920,472.4344
18/06/1920,460.2604
19/06/1920,468.3538
20/06/1920,444.3425
21/06/1920,456.2475
22/06/1920,649.743
23/06/1920,685.4522
24/06/1920,586.6223
25/06/1920,488.9831
26/06/1920,428.7804
27/06/1920,428.7804
28/06/1920,377.064
29/06/1920,349.3912
30/06/1920,298.0115
01/07/1920,387.7903
02/07/1920,373.531
03/07/1920,363.0594
04/07/1920,432.6377
05/07/1920,398.7094
06/07/1920,370.0194
07/07/1920,456.2475
08/07/1920,493.1771
09/07/1920,476.5374
10/07/1920,460.2604
11/07/1920,563.4318
12/07/1920,518.8242
13/07/1920,417.3401
14/07/1920,391.4086
15/07/1920,380.618
16/07/1920,326.2707
17/07/1920,283.0116
18/07/1920,323.0498
19/07/1920,391.4086
20/07/1920,380.618
21/07/1920,268.5023
22/07/1920,254.4767
23/07/1920,227.8479
24/07/1920,207.8789
25/07/1920,177.8764
26/07/1920,184.5364
27/07/1920,143.0252
28/07/1920,148.8257
29/07/1920,137.3711
30/07/1920,126.4953
31/07/1920,126.4953
01/08/1920,117.8649
02/08/1920,109.6198
03/08/1920,111.2383
04/08/1920,109.6198
05/08/1920,112.8721
06/08/1920,135.5186
07/08/1920,505.8971
08/08/1920,518.8242
09/08/1920,384.1936
10/08/1920,294.972
11/08/1920,235.6399
12/08/1920,200.6895
13/08/1920,171.3719
14/08/1920,150.792
15/08/1920,137.3711
16/08/1920,126.4953
17/08/1920,117.8649
18/08/1920,111.2383
19/08/1920,114.521
20/08/1920,133.6822
21/08/1920,230.4267
22/08/1920,332.7736
23/08/1920,363.0594
24/08/1920,329.5118
25/08/1920,265.6587
26/08/1920,220.2225
27/08/1920,184.5364
28/08/1920,156.79
29/08/1920,137.3711
30/08/1920,119.5599
31/08/1920,108.0163
01/09/1920,98.70936
02/09/1920,89.93072
03/09/1920,88.518
04/09/1920,101.7523
05/09/1920,154.7741
06/09/1920,169.2379
07/09/1920,169.2379
08/09/1920,167.1211
09/09/1920,146.8758
10/09/1920,128.2683
11/09/1920,124.738
12/09/1920,121.2704
13/09/1920,106.4279
14/09/1920,98.70936
15/09/1920,95.72511
16/09/1920,94.2548
17/09/1920,111.2383
18/09/1920,131.8616
19/09/1920,189.0635
20/09/1920,288.9523
21/09/1920,227.8479
22/09/1920,189.0635
23/09/1920,160.872
24/09/1920,135.5186
25/09/1920,124.738
26/09/1920,111.2383
27/09/1920,100.2234
28/09/1920,94.2548
29/09/1920,87.11959
30/09/1920,81.66697
01/10/1920,77.72393
02/10/1920,72.65863
03/10/1920,70.20714
04/10/1920,65.46394
05/10/1920,60.93038
06/10/1920,58.74092
07/10/1920,55.55193
08/10/1920,53.48866
09/10/1920,50.48656
10/10/1920,47.59417
11/10/1920,44.8098
12/10/1920,42.13159
13/10/1920,40.40425
14/10/1920,38.72278
15/10/1920,37.08664
16/10/1920,35.49531
17/10/1920,33.1911
18/10/1920,29.56712
19/10/1920,28.87414
20/10/1920,28.19165
21/10/1920,27.5195
22/10/1920,26.20611
23/10/1920,24.93343
24/10/1920,22.50794
25/10/1920,21.35402
26/10/1920,21.35402
27/10/1920,20.23856
28/10/1920,16.62917
29/10/1920,15.21836
30/10/1920,13.88634
31/10/1920,13.04115
01/11/1920,14.32172
02/11/1920,12.22953
03/11/1920,10.70463
04/11/1920,11.07374
05/11/1920,11.45088
06/11/1920,11.83611
07/11/1920,12.22953
08/11/1920,11.45088
09/11/1920,11.45088
10/11/1920,11.83611
11/11/1920,11.45088
12/11/1920,12.22953
13/11/1920,13.04115
14/11/1920,12.63119
15/11/1920,12.22953
16/11/1920,12.22953
17/11/1920,12.22953
18/11/1920,11.83611
19/11/1920,11.83611
20/11/1920,11.83611
21/11/1920,11.83611
22/11/1920,11.45088
23/11/1920,11.45088
24/11/1920,11.45088
25/11/1920,11.07374
26/11/1920,10.70463
27/11/1920,10.34344
28/11/1920,10.34344
29/11/1920,10.34344
30/11/1920,11.07374
01/12/1920,9.990153
02/12/1920,9.990153
03/12/1920,9.990153
04/12/1920,9.644641
05/12/1920,9.644641
06/12/1920,9.306868
07/12/1920,9.306868
08/12/1920,8.654163
09/12/1920,8.654163
10/12/1920,8.976723
11/12/1920,9.990153
12/12/1920,9.990153
13/12/1920,9.644641
14/12/1920,9.644641
15/12/1920,9.306868
16/12/1920,9.306868
17/12/1920,9.306868
18/12/1920,9.306868
19/12/1920,9.306868
20/12/1920,9.644641
21/12/1920,10.34344
22/12/1920,10.34344
23/12/1920,10.34344
24/12/1920,9.306868
25/12/1920,8.976723
26/12/1920,8.339083
27/12/1920,8.339083
28/12/1920,8.339083
29/12/1920,8.339083
30/12/1920,8.339083
31/12/1920,8.654163
01/01/1921,8.654163
02/01/1921,8.654163
03/01/1921,8.654163
04/01/1921,8.654163
05/01/1921,8.654163
06/01/1921,8.654163
07/01/1921,8.654163
08/01/1921,8.654163
09/01/1921,8.654163
10/01/1921,8.654163
11/01/1921,8.654163
12/01/1921,8.654163
13/01/1921,8.654163
14/01/1921,8.339083
15/01/1921,8.339083
16/01/1921,8.339083
17/01/1921,8.339083
18/01/1921,8.654163
19/01/1921,8.654163
20/01/1921,8.654163
21/01/1921,8.654163
22/01/1921,8.654163
23/01/1921,8.976723
24/01/1921,8.976723
25/01/1921,9.306868
26/01/1921,10.34344
27/01/1921,9.990153
28/01/1921,9.990153
29/01/1921,9.990153
30/01/1921,9.644641
31/01/1921,9.644641
01/02/1921,10.34344
02/02/1921,12.22953
03/02/1921,12.22953
04/02/1921,12.22953
05/02/1921,11.83611
06/02/1921,11.83611
07/02/1921,11.45088
08/02/1921,11.45088
09/02/1921,11.83611
10/02/1921,12.22953
11/02/1921,12.22953
12/02/1921,12.22953
13/02/1921,11.83611
14/02/1921,11.83611
15/02/1921,11.45088
16/02/1921,11.45088
17/02/1921,11.07374
18/02/1921,10.70463
19/02/1921,10.34344
20/02/1921,9.990153
21/02/1921,9.644641
22/02/1921,9.306868
23/02/1921,8.976723
24/02/1921,8.654163
25/02/1921,8.654163
26/02/1921,8.339083
27/02/1921,8.339083
28/02/1921,8.031434
01/03/1921,8.339083
02/03/1921,8.654163
03/03/1921,8.654163
04/03/1921,8.654163
05/03/1921,8.031434
06/03/1921,7.152195
07/03/1921,6.601717
08/03/1921,6.601717
09/03/1921,6.873447
10/03/1921,7.152195
11/03/1921,7.438067
12/03/1921,8.654163
13/03/1921,9.644641
14/03/1921,10.70463
15/03/1921,11.45088
16/03/1921,12.22953
17/03/1921,13.45952
18/03/1921,14.32172
19/03/1921,13.88634
20/03/1921,13.04115
21/03/1921,12.63119
22/03/1921,12.22953
23/03/1921,12.63119
24/03/1921,16.62917
25/03/1921,24.93343
26/03/1921,30.27059
27/03/1921,29.56712
28/03/1921,26.8577
29/03/1921,21.92612
30/03/1921,19.69507
31/03/1921,19.16101
01/04/1921,17.11731
02/04/1921,17.11731
03/04/1921,26.20611
04/04/1921,39.5578
05/04/1921,39.5578
06/04/1921,37.89906
07/04/1921,34.71625
08/04/1921,33.1911
09/04/1921,33.94823
10/04/1921,43.90534
11/04/1921,50.48656
12/04/1921,62.04432
13/04/1921,67.80908
14/04/1921,69.00143
15/04/1921,69.00143
16/04/1921,63.17121
17/04/1921,56.60234
18/04/1921,41.26213
19/04/1921,37.89906
20/04/1921,33.1911
21/04/1921,30.98468
22/04/1921,30.27059
23/04/1921,30.27059
24/04/1921,29.56712
25/04/1921,34.71625
26/04/1921,79.02448
27/04/1921,233.0239
28/04/1921,329.5118
29/04/1921,342.682
30/04/1921,326.2707
01/05/1921,283.0116
02/05/1921,291.9522
03/05/1921,254.4767
04/05/1921,246.2906
05/05/1921,191.3533
06/05/1921,165.0211
07/05/1921,165.0211
08/05/1921,133.6822
09/05/1921,265.6587
10/05/1921,339.3586
11/05/1921,294.972
12/05/1921,285.9721
13/05/1921,277.1494
14/05/1921,268.5023
15/05/1921,294.972
16/05/1921,356.1835
17/05/1921,349.3912
18/05/1921,339.3586
19/05/1921,313.5094
20/05/1921,298.0115
21/05/1921,274.2476
22/05/1921,268.5023
23/05/1921,249.0002
24/05/1921,277.1494
25/05/1921,249.0002
26/05/1921,288.9523
27/05/1921,398.7094
28/05/1921,664.8978
29/05/1921,634.8104
30/05/1921,501.6341
31/05/1921,421.1317
01/06/1921,456.2475
02/06/1921,391.4086
03/06/1921,346.0262
04/06/1921,323.0498
05/06/1921,291.9522
06/06/1921,283.0116
07/06/1921,268.5023
08/06/1921,251.729
09/06/1921,265.6587
10/06/1921,298.0115
11/06/1921,329.5118
12/06/1921,304.1505
13/06/1921,254.4767
14/06/1921,220.2225
15/06/1921,210.3114
16/06/1921,160.872
17/06/1921,144.9424
18/06/1921,130.0571
19/06/1921,124.738
20/06/1921,122.9964
21/06/1921,119.5599
22/06/1921,104.8545
23/06/1921,97.20989
24/06/1921,92.79906
25/06/1921,92.79906
26/06/1921,101.7523
27/06/1921,122.9964
28/06/1921,144.9424
29/06/1921,141.1243
30/06/1921,154.7741
01/07/1921,122.9964
02/07/1921,124.738
03/07/1921,126.4953
04/07/1921,128.2683
05/07/1921,144.9424
06/07/1921,158.8227
07/07/1921,158.8227
08/07/1921,150.792
09/07/1921,144.9424
10/07/1921,146.8758
11/07/1921,158.8227
12/07/1921,177.8764
13/07/1921,175.6911
14/07/1921,169.2379
15/07/1921,158.8227
16/07/1921,148.8257
17/07/1921,130.0571
18/07/1921,122.9964
19/07/1921,121.2704
20/07/1921,122.9964
21/07/1921,112.8721
22/07/1921,114.521
23/07/1921,117.8649
24/07/1921,119.5599
25/07/1921,119.5599
26/07/1921,121.2704
27/07/1921,122.9964
28/07/1921,139.2396
29/07/1921,148.8257
30/07/1921,175.6911
31/07/1921,180.0791
01/08/1921,169.2379
02/08/1921,152.7747
03/08/1921,143.0252
04/08/1921,175.6911
05/08/1921,195.9859
06/08/1921,191.3533
07/08/1921,180.0791
08/08/1921,156.79
09/08/1921,165.0211
10/08/1921,112.8721
11/08/1921,100.2234
12/08/1921,87.11959
13/08/1921,83.00905
14/08/1921,80.33876
15/08/1921,116.1853
16/08/1921,130.0571
17/08/1921,143.0252
18/08/1921,137.3711
19/08/1921,128.2683
20/08/1921,119.5599
21/08/1921,104.8545
22/08/1921,98.70936
23/08/1921,91.35767
24/08/1921,87.11959
25/08/1921,81.66697
26/08/1921,80.33876
27/08/1921,75.16405
28/08/1921,80.33876
29/08/1921,80.33876
30/08/1921,79.02448
31/08/1921,76.43719
01/09/1921,70.20714
02/09/1921,64.31103
03/09/1921,76.43719
04/09/1921,77.72393
05/09/1921,71.4262
06/09/1921,80.33876
07/09/1921,70.20714
