Date,Discharge (m³/s)
01/01/1992,95.88937
02/01/1992,97.30134
03/01/1992,106.0319
04/01/1992,107.5305
05/01/1992,89.01266
06/01/1992,97.30134
07/01/1992,110.5652
08/01/1992,86.34672
09/01/1992,95.88937
10/01/1992,112.1014
11/01/1992,103.0722
12/01/1992,87.67365
13/01/1992,106.0319
14/01/1992,113.6503
15/01/1992,110.5652
16/01/1992,103.0722
17/01/1992,106.0319
18/01/1992,104.5459
19/01/1992,110.5652
20/01/1992,112.1014
21/01/1992,107.5305
22/01/1992,100.1621
23/01/1992,100.1621
24/01/1992,98.72552
25/01/1992,95.88937
26/01/1992,95.88937
27/01/1992,103.0722
28/01/1992,97.30134
29/01/1992,90.3637
30/01/1992,97.30134
31/01/1992,104.5459
01/02/1992,104.5459
02/02/1992,101.611
03/02/1992,97.30134
04/02/1992,83.72878
05/02/1992,85.03174
06/02/1992,86.34672
07/02/1992,73.73161
08/02/1992,77.39215
09/02/1992,69.01381
10/02/1992,76.16028
11/02/1992,73.73161
12/02/1992,70.17588
13/02/1992,77.39215
14/02/1992,78.63584
15/02/1992,76.16028
16/02/1992,83.72878
17/02/1992,81.15858
18/02/1992,89.01266
19/02/1992,90.3637
20/02/1992,76.16028
21/02/1992,73.73161
22/02/1992,76.16028
23/02/1992,71.34955
24/02/1992,73.73161
25/02/1992,70.17588
26/02/1992,69.01381
27/02/1992,65.5964
28/02/1992,63.3752
29/02/1992,39.33454
01/03/1992,29.42963
02/03/1992,33.03798
03/03/1992,47.21124
04/03/1992,59.0684
05/03/1992,54.94043
06/03/1992,44.49065
07/03/1992,36.89679
08/03/1992,28.73757
09/03/1992,32.29643
10/03/1992,30.84325
11/03/1992,34.55116
12/03/1992,34.55116
13/03/1992,28.73757
14/03/1992,26.7197
15/03/1992,36.10476
16/03/1992,45.38688
17/03/1992,38.51165
18/03/1992,33.78952
19/03/1992,35.32286
20/03/1992,31.56489
21/03/1992,27.38264
22/03/1992,25.42268
23/03/1992,37.6991
24/03/1992,51.96033
25/03/1992,46.2937
26/03/1992,44.49065
27/03/1992,38.51165
28/03/1992,40.16775
29/03/1992,30.84325
30/03/1992,41.01139
31/03/1992,56.98222
01/04/1992,59.0684
02/04/1992,66.72405
03/04/1992,69.01381
04/04/1992,56.98222
05/04/1992,42.72999
06/04/1992,41.86543
07/04/1992,43.60506
08/04/1992,41.86543
09/04/1992,38.51165
10/04/1992,45.38688
11/04/1992,43.60506
12/04/1992,50.02822
13/04/1992,56.98222
14/04/1992,66.72405
15/04/1992,70.17588
16/04/1992,65.5964
17/04/1992,60.12822
18/04/1992,53.93607
19/04/1992,59.0684
20/04/1992,56.98222
21/04/1992,49.07846
22/04/1992,62.28158
23/04/1992,64.48009
24/04/1992,63.3752
25/04/1992,53.93607
26/04/1992,52.94275
27/04/1992,60.12822
28/04/1992,61.1993
29/04/1992,66.72405
30/04/1992,81.15858
01/05/1992,74.94007
02/05/1992,100.1621
03/05/1992,101.611
04/05/1992,109.0416
05/05/1992,97.30134
06/05/1992,126.4984
07/05/1992,164.1932
08/05/1992,205.6411
09/05/1992,172.0417
10/05/1992,129.8388
11/05/1992,115.2117
12/05/1992,101.611
13/05/1992,101.611
14/05/1992,110.5652
15/05/1992,162.2649
16/05/1992,268.0058
17/05/1992,302.9227
18/05/1992,308.521
19/05/1992,317.0331
20/05/1992,361.6762
21/05/1992,367.8938
22/05/1992,319.9011
23/05/1992,328.597
24/05/1992,328.597
25/05/1992,278.4794
26/05/1992,255.2477
27/05/1992,245.3063
28/05/1992,233.2079
29/05/1992,223.7899
30/05/1992,192.6238
31/05/1992,160.3503
01/06/1992,156.5613
02/06/1992,150.9785
03/06/1992,149.1443
04/06/1992,143.7212
05/06/1992,131.5284
06/06/1992,116.7858
07/06/1992,104.5459
08/06/1992,100.1621
09/06/1992,104.5459
10/06/1992,103.0722
11/06/1992,76.16028
12/06/1992,61.1993
13/06/1992,59.0684
14/06/1992,64.48009
15/06/1992,60.12822
16/06/1992,58.01971
17/06/1992,52.94275
18/06/1992,38.51165
19/06/1992,33.78952
20/06/1992,39.33454
21/06/1992,37.6991
22/06/1992,38.51165
23/06/1992,33.03798
24/06/1992,26.06641
25/06/1992,24.16381
26/06/1992,24.78851
27/06/1992,26.7197
28/06/1992,30.13153
29/06/1992,34.55116
30/06/1992,33.03798
01/07/1992,32.29643
02/07/1992,31.56489
03/07/1992,30.84325
04/07/1992,30.13153
05/07/1992,30.84325
06/07/1992,30.13153
07/07/1992,26.7197
08/07/1992,36.10476
09/07/1992,28.05523
10/07/1992,25.42268
11/07/1992,30.13153
12/07/1992,30.84325
13/07/1992,30.13153
14/07/1992,38.51165
15/07/1992,40.16775
16/07/1992,33.03798
17/07/1992,30.84325
18/07/1992,28.73757
19/07/1992,28.73757
20/07/1992,45.38688
21/07/1992,58.01971
22/07/1992,66.72405
23/07/1992,73.73161
24/07/1992,70.17588
25/07/1992,78.63584
26/07/1992,98.72552
27/07/1992,107.5305
28/07/1992,109.0416
29/07/1992,101.611
30/07/1992,87.67365
31/07/1992,76.16028
01/08/1992,66.72405
02/08/1992,56.98222
03/08/1992,53.93607
04/08/1992,64.48009
05/08/1992,103.0722
06/08/1992,113.6503
07/08/1992,119.9722
08/08/1992,107.5305
09/08/1992,101.611
10/08/1992,133.231
11/08/1992,170.0591
12/08/1992,212.3402
13/08/1992,223.7899
14/08/1992,242.8575
15/08/1992,219.1671
16/08/1992,212.3402
17/08/1992,216.8772
18/08/1992,242.8575
19/08/1992,221.4714
20/08/1992,192.6238
21/08/1992,156.5613
22/08/1992,134.9466
23/08/1992,128.1621
24/08/1992,233.2079
25/08/1992,308.521
26/08/1992,235.5986
27/08/1992,210.0929
28/08/1992,201.2458
29/08/1992,194.7583
30/08/1992,160.3503
31/08/1992,174.0379
01/09/1992,210.0929
02/09/1992,188.3967
03/09/1992,154.687
04/09/1992,166.1349
05/09/1992,186.3039
06/09/1992,150.9785
07/09/1992,123.2096
08/09/1992,113.6503
09/09/1992,98.72552
10/09/1992,85.03174
11/09/1992,82.43771
12/09/1992,79.89127
13/09/1992,81.15858
14/09/1992,109.0416
15/09/1992,138.4171
16/09/1992,126.4984
17/09/1992,110.5652
18/09/1992,98.72552
19/09/1992,76.16028
20/09/1992,69.01381
21/09/1992,72.53474
22/09/1992,74.94007
23/09/1992,91.72691
24/09/1992,184.2251
25/09/1992,240.4233
26/09/1992,281.1351
27/09/1992,322.7843
28/09/1992,270.6018
29/09/1992,219.1671
30/09/1992,194.7583
01/10/1992,176.0479
02/10/1992,141.94
03/10/1992,119.9722
04/10/1992,89.01266
05/10/1992,93.10219
06/10/1992,83.72878
07/10/1992,76.16028
08/10/1992,70.17588
09/10/1992,71.34955
10/10/1992,66.72405
11/10/1992,61.1993
12/10/1992,69.01381
13/10/1992,71.34955
14/10/1992,73.73161
15/10/1992,79.89127
16/10/1992,89.01266
17/10/1992,107.5305
18/10/1992,97.30134
19/10/1992,110.5652
20/10/1992,109.0416
21/10/1992,110.5652
22/10/1992,107.5305
23/10/1992,109.0416
24/10/1992,100.1621
25/10/1992,98.72552
26/10/1992,106.0319
27/10/1992,106.0319
28/10/1992,104.5459
29/10/1992,110.5652
30/10/1992,109.0416
31/10/1992,107.5305
01/11/1992,106.0319
02/11/1992,104.5459
03/11/1992,101.611
04/11/1992,103.0722
05/11/1992,104.5459
06/11/1992,106.0319
07/11/1992,106.0319
08/11/1992,106.0319
09/11/1992,110.5652
10/11/1992,109.0416
11/11/1992,107.5305
12/11/1992,110.5652
13/11/1992,109.0416
14/11/1992,109.0416
15/11/1992,104.5459
16/11/1992,106.0319
17/11/1992,103.0722
18/11/1992,107.5305
19/11/1992,103.0722
20/11/1992,101.611
21/11/1992,104.5459
22/11/1992,89.01266
23/11/1992,104.5459
24/11/1992,95.88937
25/11/1992,98.72552
26/11/1992,100.1621
27/11/1992,100.1621
28/11/1992,98.72552
29/11/1992,95.88937
30/11/1992,95.88937
01/12/1992,95.88937
02/12/1992,97.30134
03/12/1992,94.48971
04/12/1992,101.611
05/12/1992,100.1621
06/12/1992,98.72552
07/12/1992,98.72552
08/12/1992,97.30134
09/12/1992,101.611
10/12/1992,94.48971
11/12/1992,98.72552
12/12/1992,98.72552
13/12/1992,98.72552
14/12/1992,98.72552
15/12/1992,95.88937
16/12/1992,100.1621
17/12/1992,85.03174
18/12/1992,71.34955
19/12/1992,72.53474
20/12/1992,74.94007
21/12/1992,81.15858
22/12/1992,90.3637
23/12/1992,101.611
24/12/1992,94.48971
25/12/1992,100.1621
26/12/1992,106.0319
27/12/1992,103.0722
28/12/1992,103.0722
29/12/1992,89.01266
30/12/1992,87.67365
31/12/1992,100.1621
01/01/1993,94.48904
02/01/1993,95.89191
03/01/1993,97.30486
04/01/1993,97.30486
05/01/1993,98.72784
06/01/1993,101.6137
07/01/1993,82.44003
08/01/1993,87.67352
09/01/1993,91.72305
10/01/1993,94.48904
11/01/1993,86.35012
12/01/1993,83.73342
13/01/1993,89.01658
14/01/1993,90.35995
15/01/1993,85.02705
16/01/1993,87.67352
17/01/1993,85.02705
18/01/1993,83.73342
19/01/1993,87.67352
20/01/1993,89.01658
21/01/1993,89.01658
22/01/1993,86.35012
23/01/1993,87.67352
24/01/1993,86.35012
25/01/1993,97.30486
26/01/1993,98.72784
27/01/1993,97.30486
28/01/1993,91.72305
29/01/1993,103.0766
30/01/1993,107.5353
31/01/1993,115.2103
01/02/1993,107.5353
02/02/1993,106.0325
03/02/1993,91.72305
04/02/1993,94.48904
05/02/1993,104.5495
06/02/1993,93.10587
07/02/1993,93.10587
08/02/1993,101.6137
09/02/1993,94.48904
10/02/1993,89.01658
11/02/1993,85.02705
12/02/1993,89.01658
13/02/1993,83.73342
14/02/1993,79.89295
15/02/1993,78.63924
16/02/1993,78.63924
17/02/1993,85.02705
18/02/1993,90.35995
19/02/1993,94.48904
20/02/1993,90.35995
21/02/1993,76.16168
22/02/1993,78.63924
23/02/1993,83.73342
24/02/1993,89.01658
25/02/1993,89.01658
26/02/1993,90.35995
27/02/1993,82.44003
28/02/1993,77.39552
01/03/1993,83.73342
02/03/1993,95.89191
03/03/1993,103.0766
04/03/1993,100.1609
05/03/1993,97.30486
06/03/1993,87.67352
07/03/1993,87.67352
08/03/1993,86.35012
09/03/1993,82.44003
10/03/1993,82.44003
11/03/1993,85.02705
12/03/1993,86.35012
13/03/1993,82.44003
14/03/1993,64.47728
15/03/1993,67.86189
16/03/1993,78.63924
17/03/1993,81.15665
18/03/1993,81.15665
19/03/1993,79.89295
20/03/1993,74.93787
21/03/1993,72.53946
22/03/1993,74.93787
23/03/1993,86.35012
24/03/1993,93.10587
25/03/1993,87.67352
26/03/1993,89.01658
27/03/1993,83.73342
28/03/1993,72.53946
29/03/1993,81.15665
30/03/1993,79.89295
31/03/1993,81.15665
01/04/1993,82.44003
02/04/1993,89.01658
03/04/1993,82.44003
04/04/1993,53.93831
05/04/1993,58.02379
06/04/1993,62.27686
07/04/1993,66.72703
08/04/1993,72.53946
09/04/1993,63.3721
10/04/1993,54.94486
11/04/1993,60.12573
12/04/1993,61.2012
13/04/1993,67.86189
14/04/1993,55.95163
15/04/1993,47.20644
16/04/1993,44.49073
17/04/1993,47.20644
18/04/1993,49.08207
19/04/1993,48.14417
20/04/1993,46.29783
21/04/1993,47.20644
22/04/1993,53.93831
23/04/1993,58.02379
24/04/1993,61.2012
25/04/1993,62.27686
26/04/1993,86.35012
27/04/1993,116.7834
28/04/1993,158.4493
29/04/1993,233.2044
30/04/1993,275.8348
01/05/1993,328.5941
02/05/1993,413.1897
03/05/1993,487.0854
